finding_id,control_result_id,control_id,title,severity,status,opened_at,assigned_to_user_id,root_cause_summary,recommended_action,hitl_decision,closed_at
FND_00001,CR_000007,AC-003,Violation detected: Sensitive export requires approval,MEDIUM,CLOSED,2026-01-04T03:28:40,USR_0045,Quy trình phê duyệt chưa đầy đủ,Tách vai trò author/approver/deployer,REJECTED_PROPOSAL,2026-01-07T03:28:40
FND_00002,CR_000013,DQ-001,Violation detected: Pipeline run must complete successfully,CRITICAL,OPEN,2026-01-11T05:29:18,USR_0019,Thao tác vượt phạm vi được phê duyệt,Điều tra audit log và xác nhận phạm vi ảnh hưởng,,
FND_00003,CR_000015,CM-001,Violation detected: Production deployment must have RFC,HIGH,CLOSED,2026-01-03T08:48:04,USR_0001,Thiếu evidence từ hệ thống nguồn,Bổ sung approval/evidence bắt buộc,APPROVED_REMEDIATION,2026-01-06T08:48:04
FND_00004,CR_000022,CM-002,"Violation detected: Code author, approver and deployer must be separated",HIGH,OPEN,2026-01-15T09:33:19,USR_0019,Quy trình phê duyệt chưa đầy đủ,Bổ sung approval/evidence bắt buộc,,
FND_00005,CR_000023,CM-001,Violation detected: Production deployment must have RFC,HIGH,REMEDIATED,2026-01-11T09:29:57,USR_0022,Thao tác vượt phạm vi được phê duyệt,Bổ sung approval/evidence bắt buộc,REJECTED_PROPOSAL,
FND_00006,CR_000024,AC-004,Violation detected: Sensitive export must be masked by default,MEDIUM,REMEDIATED,2026-01-02T11:09:13,USR_0054,Pipeline hoặc deployment không đáp ứng control,Rà soát và thu hồi quyền không cần thiết,REJECTED_PROPOSAL,
FND_00007,CR_000029,CM-002,"Violation detected: Code author, approver and deployer must be separated",CRITICAL,CLOSED,2026-01-15T05:28:59,USR_0032,Quyền chưa được thu hồi kịp thời,Bổ sung approval/evidence bắt buộc,APPROVED_REMEDIATION,2026-01-26T05:28:59
FND_00008,CR_000042,DQ-001,Violation detected: Pipeline run must complete successfully,HIGH,OPEN,2026-01-14T05:32:56,USR_0015,Pipeline hoặc deployment không đáp ứng control,Điều tra audit log và xác nhận phạm vi ảnh hưởng,,
FND_00009,CR_000051,CM-002,"Violation detected: Code author, approver and deployer must be separated",MEDIUM,OPEN,2026-01-13T18:28:42,USR_0029,Pipeline hoặc deployment không đáp ứng control,Rà soát và thu hồi quyền không cần thiết,,
FND_00010,CR_000057,DQ-001,Violation detected: Pipeline run must complete successfully,MEDIUM,IN_REVIEW,2026-01-12T06:26:19,USR_0020,Pipeline hoặc deployment không đáp ứng control,Rà soát và thu hồi quyền không cần thiết,,
FND_00011,CR_000059,CM-001,Violation detected: Production deployment must have RFC,CRITICAL,IN_REVIEW,2026-01-06T03:09:05,USR_0019,Thao tác vượt phạm vi được phê duyệt,Bổ sung approval/evidence bắt buộc,,
FND_00012,CR_000071,DQ-002,Violation detected: Quarantine rate must remain below threshold,MEDIUM,CLOSED,2026-01-14T18:48:53,USR_0002,Pipeline hoặc deployment không đáp ứng control,Bổ sung approval/evidence bắt buộc,APPROVED_REMEDIATION,2026-01-21T18:48:53
FND_00013,CR_000072,CM-003,Violation detected: Production deployment requires successful test evidence,HIGH,OPEN,2026-01-11T06:50:20,USR_0032,Pipeline hoặc deployment không đáp ứng control,Chạy lại pipeline và kiểm tra dữ liệu quarantine,,
FND_00014,CR_000074,AC-002,Violation detected: Requester must not self-approve,MEDIUM,REMEDIATED,2026-01-07T22:33:39,USR_0005,Pipeline hoặc deployment không đáp ứng control,Chạy lại pipeline và kiểm tra dữ liệu quarantine,REJECTED_PROPOSAL,
FND_00015,CR_000078,AC-002,Violation detected: Requester must not self-approve,HIGH,REMEDIATED,2026-01-08T00:25:23,USR_0002,Quy trình phê duyệt chưa đầy đủ,Điều tra audit log và xác nhận phạm vi ảnh hưởng,REJECTED_PROPOSAL,
FND_00016,CR_000086,CM-001,Violation detected: Production deployment must have RFC,MEDIUM,REMEDIATED,2026-01-13T03:46:53,USR_0015,Thiếu evidence từ hệ thống nguồn,Điều tra audit log và xác nhận phạm vi ảnh hưởng,REJECTED_PROPOSAL,
FND_00017,CR_000092,AC-002,Violation detected: Requester must not self-approve,CRITICAL,OPEN,2026-01-06T06:39:36,USR_0017,Quy trình phê duyệt chưa đầy đủ,Tách vai trò author/approver/deployer,,
FND_00018,CR_000094,DQ-001,Violation detected: Pipeline run must complete successfully,CRITICAL,REMEDIATED,2026-01-15T07:20:18,USR_0032,Pipeline hoặc deployment không đáp ứng control,Bổ sung approval/evidence bắt buộc,APPROVED_REMEDIATION,
FND_00019,CR_000098,DQ-001,Violation detected: Pipeline run must complete successfully,CRITICAL,OPEN,2026-01-03T11:13:02,USR_0032,Quyền chưa được thu hồi kịp thời,Tách vai trò author/approver/deployer,,
FND_00020,CR_000104,CM-001,Violation detected: Production deployment must have RFC,MEDIUM,IN_REVIEW,2026-01-10T02:36:52,USR_0010,Pipeline hoặc deployment không đáp ứng control,Chạy lại pipeline và kiểm tra dữ liệu quarantine,,
FND_00021,CR_000108,AC-002,Violation detected: Requester must not self-approve,HIGH,IN_REVIEW,2026-01-08T01:00:45,USR_0020,Pipeline hoặc deployment không đáp ứng control,Rà soát và thu hồi quyền không cần thiết,,
FND_00022,CR_000128,DQ-002,Violation detected: Quarantine rate must remain below threshold,MEDIUM,OPEN,2026-01-13T15:02:27,USR_0032,Quyền chưa được thu hồi kịp thời,Chạy lại pipeline và kiểm tra dữ liệu quarantine,,
FND_00023,CR_000129,CM-001,Violation detected: Production deployment must have RFC,CRITICAL,CLOSED,2026-01-14T05:25:36,USR_0010,Quy trình phê duyệt chưa đầy đủ,Bổ sung approval/evidence bắt buộc,REJECTED_PROPOSAL,2026-01-17T05:25:36
FND_00024,CR_000130,CM-002,"Violation detected: Code author, approver and deployer must be separated",MEDIUM,REMEDIATED,2026-01-06T01:54:29,USR_0024,Pipeline hoặc deployment không đáp ứng control,Bổ sung approval/evidence bắt buộc,REJECTED_PROPOSAL,
FND_00025,CR_000132,DQ-002,Violation detected: Quarantine rate must remain below threshold,CRITICAL,REMEDIATED,2026-01-10T23:55:10,USR_0002,Thao tác vượt phạm vi được phê duyệt,Rà soát và thu hồi quyền không cần thiết,REJECTED_PROPOSAL,
FND_00026,CR_000133,CM-001,Violation detected: Production deployment must have RFC,MEDIUM,REMEDIATED,2026-01-10T13:18:52,USR_0017,Quyền chưa được thu hồi kịp thời,Tách vai trò author/approver/deployer,REJECTED_PROPOSAL,
FND_00027,CR_000138,AC-003,Violation detected: Sensitive export requires approval,MEDIUM,CLOSED,2026-01-06T10:51:44,USR_0029,Thiếu evidence từ hệ thống nguồn,Chạy lại pipeline và kiểm tra dữ liệu quarantine,REJECTED_PROPOSAL,2026-01-08T10:51:44
FND_00028,CR_000145,AC-004,Violation detected: Sensitive export must be masked by default,CRITICAL,OPEN,2026-01-13T04:03:33,USR_0002,Thiếu evidence từ hệ thống nguồn,Điều tra audit log và xác nhận phạm vi ảnh hưởng,,
FND_00029,CR_000146,AC-003,Violation detected: Sensitive export requires approval,HIGH,IN_REVIEW,2026-01-08T07:15:38,USR_0054,Thiếu evidence từ hệ thống nguồn,Bổ sung approval/evidence bắt buộc,,
FND_00030,CR_000160,CM-003,Violation detected: Production deployment requires successful test evidence,HIGH,OPEN,2026-01-09T09:17:30,USR_0022,Pipeline hoặc deployment không đáp ứng control,Rà soát và thu hồi quyền không cần thiết,,
FND_00031,CR_000166,CM-003,Violation detected: Production deployment requires successful test evidence,HIGH,CLOSED,2026-01-15T16:34:53,USR_0020,Pipeline hoặc deployment không đáp ứng control,Tách vai trò author/approver/deployer,REJECTED_PROPOSAL,2026-01-19T16:34:53
FND_00032,CR_000167,CM-003,Violation detected: Production deployment requires successful test evidence,HIGH,OPEN,2026-01-07T05:03:43,USR_0005,Thao tác vượt phạm vi được phê duyệt,Tách vai trò author/approver/deployer,,
FND_00033,CR_000171,AC-003,Violation detected: Sensitive export requires approval,MEDIUM,CLOSED,2026-01-03T07:20:54,USR_0022,Thiếu evidence từ hệ thống nguồn,Chạy lại pipeline và kiểm tra dữ liệu quarantine,APPROVED_REMEDIATION,2026-01-05T07:20:54
FND_00034,CR_000175,AC-001,Violation detected: Leaver access revoked within 24h,CRITICAL,IN_REVIEW,2026-01-08T16:36:41,USR_0004,Thiếu evidence từ hệ thống nguồn,Chạy lại pipeline và kiểm tra dữ liệu quarantine,,
FND_00035,CR_000179,DQ-002,Violation detected: Quarantine rate must remain below threshold,HIGH,OPEN,2026-01-13T03:55:18,USR_0019,Quy trình phê duyệt chưa đầy đủ,Điều tra audit log và xác nhận phạm vi ảnh hưởng,,
FND_00036,CR_000181,AC-002,Violation detected: Requester must not self-approve,HIGH,IN_REVIEW,2026-01-08T09:55:20,USR_0029,Pipeline hoặc deployment không đáp ứng control,Bổ sung approval/evidence bắt buộc,,
FND_00037,CR_000192,DQ-002,Violation detected: Quarantine rate must remain below threshold,HIGH,REMEDIATED,2026-01-12T07:39:20,USR_0025,Thiếu evidence từ hệ thống nguồn,Điều tra audit log và xác nhận phạm vi ảnh hưởng,REJECTED_PROPOSAL,
FND_00038,CR_000193,DQ-001,Violation detected: Pipeline run must complete successfully,MEDIUM,REMEDIATED,2026-01-04T00:20:25,USR_0039,Quy trình phê duyệt chưa đầy đủ,Chạy lại pipeline và kiểm tra dữ liệu quarantine,APPROVED_REMEDIATION,
FND_00039,CR_000196,AC-001,Violation detected: Leaver access revoked within 24h,HIGH,OPEN,2026-01-08T15:06:26,USR_0029,Thiếu evidence từ hệ thống nguồn,Chạy lại pipeline và kiểm tra dữ liệu quarantine,,
FND_00040,CR_000197,DQ-001,Violation detected: Pipeline run must complete successfully,HIGH,REMEDIATED,2026-01-09T15:48:05,USR_0039,Thao tác vượt phạm vi được phê duyệt,Rà soát và thu hồi quyền không cần thiết,APPROVED_REMEDIATION,
FND_00041,CR_000213,CM-002,"Violation detected: Code author, approver and deployer must be separated",HIGH,OPEN,2026-01-12T23:56:27,USR_0025,Thiếu evidence từ hệ thống nguồn,Chạy lại pipeline và kiểm tra dữ liệu quarantine,,
FND_00042,CR_000227,AC-004,Violation detected: Sensitive export must be masked by default,MEDIUM,OPEN,2026-01-05T09:16:09,USR_0022,Pipeline hoặc deployment không đáp ứng control,Điều tra audit log và xác nhận phạm vi ảnh hưởng,,
FND_00043,CR_000228,CM-001,Violation detected: Production deployment must have RFC,CRITICAL,CLOSED,2026-01-10T12:53:59,USR_0035,Quy trình phê duyệt chưa đầy đủ,Tách vai trò author/approver/deployer,REJECTED_PROPOSAL,2026-01-12T12:53:59
FND_00044,CR_000233,AC-002,Violation detected: Requester must not self-approve,MEDIUM,REMEDIATED,2026-01-06T17:45:32,USR_0049,Quyền chưa được thu hồi kịp thời,Rà soát và thu hồi quyền không cần thiết,APPROVED_REMEDIATION,
FND_00045,CR_000243,DQ-002,Violation detected: Quarantine rate must remain below threshold,HIGH,REMEDIATED,2026-01-13T01:06:26,USR_0002,Quy trình phê duyệt chưa đầy đủ,Bổ sung approval/evidence bắt buộc,APPROVED_REMEDIATION,
FND_00046,CR_000248,AC-001,Violation detected: Leaver access revoked within 24h,CRITICAL,IN_REVIEW,2026-01-11T14:06:04,USR_0002,Pipeline hoặc deployment không đáp ứng control,Điều tra audit log và xác nhận phạm vi ảnh hưởng,,
FND_00047,CR_000249,AC-003,Violation detected: Sensitive export requires approval,HIGH,REMEDIATED,2026-01-05T05:48:49,USR_0029,Quy trình phê duyệt chưa đầy đủ,Tách vai trò author/approver/deployer,REJECTED_PROPOSAL,
