control_result_id,control_id,control_name,domain,evaluated_at,status,severity,evidence_id,request_id,run_id,evaluation_message,rule_version
CR_000001,DQ-002,Quarantine rate must remain below threshold,DATA_QUALITY,2026-01-12T20:40:38,PASS,NONE,EVD_000496,,RUN_000024,Control satisfied with available evidence.,v1.0
CR_000002,AC-003,Sensitive export requires approval,ACCESS_CONTROL,2026-01-02T15:47:54,PASS,NONE,EVD_000156,ARQ_00007,,Control satisfied with available evidence.,v1.0
CR_000003,CM-003,Production deployment requires successful test evidence,CHANGE_MANAGEMENT,2026-01-02T02:03:35,PASS,NONE,EVD_000463,,,Control satisfied with available evidence.,v1.0
CR_000004,CM-001,Production deployment must have RFC,CHANGE_MANAGEMENT,2026-01-03T02:31:30,PASS,NONE,EVD_000203,,,Control satisfied with available evidence.,v1.0
CR_000005,AC-004,Sensitive export must be masked by default,PRIVACY,2026-01-14T01:55:46,PASS,NONE,EVD_000186,,,Control satisfied with available evidence.,v1.0
CR_000006,DQ-002,Quarantine rate must remain below threshold,DATA_QUALITY,2026-01-02T22:53:32,PASS,NONE,EVD_000234,,RUN_000032,Control satisfied with available evidence.,v1.0
CR_000007,AC-003,Sensitive export requires approval,ACCESS_CONTROL,2026-01-04T03:28:40,FAIL,MEDIUM,EVD_000104,ARQ_00032,,Control violation detected; review linked evidence.,v1.0
CR_000008,CM-002,"Code author, approver and deployer must be separated",CHANGE_MANAGEMENT,2026-01-03T11:22:31,PASS,NONE,EVD_000338,,,Control satisfied with available evidence.,v1.0
CR_000009,DQ-002,Quarantine rate must remain below threshold,DATA_QUALITY,2026-01-02T23:15:15,NOT_EVALUATED,UNKNOWN,,,RUN_000118,Insufficient or missing evidence; control could not be evaluated.,v1.0
CR_000010,CM-003,Production deployment requires successful test evidence,CHANGE_MANAGEMENT,2026-01-13T21:35:44,PASS,NONE,EVD_000461,,,Control satisfied with available evidence.,v1.0
CR_000011,CM-002,"Code author, approver and deployer must be separated",CHANGE_MANAGEMENT,2026-01-01T08:40:39,PASS,NONE,EVD_000016,,,Control satisfied with available evidence.,v1.0
CR_000012,DQ-001,Pipeline run must complete successfully,DATA_PIPELINE,2026-01-08T18:11:27,NOT_EVALUATED,UNKNOWN,,,RUN_000062,Insufficient or missing evidence; control could not be evaluated.,v1.0
CR_000013,DQ-001,Pipeline run must complete successfully,DATA_PIPELINE,2026-01-11T05:29:18,FAIL,CRITICAL,EVD_000167,,RUN_000040,Control violation detected; review linked evidence.,v1.0
CR_000014,CM-002,"Code author, approver and deployer must be separated",CHANGE_MANAGEMENT,2026-01-13T05:21:51,PASS,NONE,EVD_000038,,,Control satisfied with available evidence.,v1.0
CR_000015,CM-001,Production deployment must have RFC,CHANGE_MANAGEMENT,2026-01-03T08:48:04,FAIL,HIGH,EVD_000506,,,Control violation detected; review linked evidence.,v1.0
CR_000016,AC-001,Leaver access revoked within 24h,ACCESS_CONTROL,2026-01-05T12:45:04,PASS,NONE,EVD_000503,ARQ_00048,,Control satisfied with available evidence.,v1.0
CR_000017,AC-004,Sensitive export must be masked by default,PRIVACY,2026-01-03T10:08:28,PASS,NONE,EVD_000478,,,Control satisfied with available evidence.,v1.0
CR_000018,CM-002,"Code author, approver and deployer must be separated",CHANGE_MANAGEMENT,2026-01-05T14:23:01,NOT_EVALUATED,UNKNOWN,,,,Insufficient or missing evidence; control could not be evaluated.,v1.0
CR_000019,CM-002,"Code author, approver and deployer must be separated",CHANGE_MANAGEMENT,2026-01-14T12:56:47,PASS,NONE,EVD_000599,,,Control satisfied with available evidence.,v1.0
CR_000020,CM-002,"Code author, approver and deployer must be separated",CHANGE_MANAGEMENT,2026-01-14T08:31:09,PASS,NONE,EVD_000579,,,Control satisfied with available evidence.,v1.0
CR_000021,AC-002,Requester must not self-approve,ACCESS_CONTROL,2026-01-02T12:45:29,PASS,NONE,EVD_000115,ARQ_00014,,Control satisfied with available evidence.,v1.0
CR_000022,CM-002,"Code author, approver and deployer must be separated",CHANGE_MANAGEMENT,2026-01-15T09:33:19,FAIL,HIGH,EVD_000268,,,Control violation detected; review linked evidence.,v1.0
CR_000023,CM-001,Production deployment must have RFC,CHANGE_MANAGEMENT,2026-01-11T09:29:57,FAIL,HIGH,EVD_000293,,,Control violation detected; review linked evidence.,v1.0
CR_000024,AC-004,Sensitive export must be masked by default,PRIVACY,2026-01-02T11:09:13,FAIL,MEDIUM,EVD_000537,,,Control violation detected; review linked evidence.,v1.0
CR_000025,DQ-001,Pipeline run must complete successfully,DATA_PIPELINE,2026-01-05T17:21:47,PASS,NONE,EVD_000028,,RUN_000101,Control satisfied with available evidence.,v1.0
CR_000026,AC-003,Sensitive export requires approval,ACCESS_CONTROL,2026-01-06T20:04:36,NOT_EVALUATED,UNKNOWN,,,,Insufficient or missing evidence; control could not be evaluated.,v1.0
CR_000027,CM-002,"Code author, approver and deployer must be separated",CHANGE_MANAGEMENT,2026-01-15T10:44:27,PASS,NONE,EVD_000532,,,Control satisfied with available evidence.,v1.0
CR_000028,CM-002,"Code author, approver and deployer must be separated",CHANGE_MANAGEMENT,2026-01-06T12:58:47,PASS,NONE,EVD_000587,,,Control satisfied with available evidence.,v1.0
