Issue Type,Issue Key,Summary,Assignee,Story Points,Priority,Sprint,Sprint Dates,Status,Description
Task,SCRUM-6,Chốt Project Charter MVP và Non-goals,Phạm Quốc Thanh,3,Highest,Sprint 0,29 Jul - 02 Aug,Done,"Initial project charter and scope boundaries."
Task,SCRUM-7,Thiết lập Scrumban board WIP policy và dashboard spec,Phạm Quốc Thanh,3,High,Sprint 0,29 Jul - 02 Aug,Done,"Scrumban board and WIP policies setup."
Task,SCRUM-8,Chọn dataset demo và tạo data card,Phạm Quốc Thanh,2,High,Sprint 0,29 Jul - 02 Aug,Done,"Demo dataset selection and data cards creation."
Task,SCRUM-27,Soft Gate Hoàn thành ARCHITECTURE.md,Phạm Quốc Thanh,5,Highest,Sprint 0,29 Jul - 02 Aug,Done,"Architecture specification and Mermaid diagrams."
Story,SCRUM-31,Open-Source Data Fetcher & VinGroup Domain Schema Mapper,Tạ Kim Ngân,5,High,Sprint 1,03 Aug - 07 Aug,In Progress,"Fetch ST-EVCDP, UIT-VSFC, JAC IEV40, and Ride Hailing datasets and map to VinGroup enterprise schemas."
Task,SCRUM-9,Thiết kế schema đích và Data Onboarding Pack,Tạ Kim Ngân,3,High,Sprint 1,03 Aug - 07 Aug,In Progress,"Target schema definition and data onboarding pack."
Task,SCRUM-10,Xây ingestion + preprocessing pipeline cho 4 VinGroup DBs,Trần Tiến Dũng,5,High,Sprint 1,03 Aug - 07 Aug,In Progress,"Ingestion and preprocessing pipeline implementation."
Story,SCRUM-29,Implement Vietnamese NLP Aspect Extractor & Teen-code Normalizer,Trần Tiến Dũng,5,High,Sprint 2,07 Aug - 11 Aug,To Do,"Normalize teen-code slang (ko sac dc -> không sạc được), extract aspect entities, and cross-validate with V-GREEN logs."
Task,SCRUM-12,Xây tool layer profiler validator compiler test runner,Trần Tiến Dũng,5,High,Sprint 2,07 Aug - 11 Aug,To Do,"Deterministic tool layer implementation."
Task,SCRUM-14,Tạo error injector và ground-truth labels,Phạm Quốc Thanh,3,High,Sprint 2,07 Aug - 11 Aug,To Do,"Ground truth fault injection generator."
Story,SCRUM-30,Build Multi-Agent ReAct Bounded Loop with Gemma-4 Function Calling,Phạm Quốc Thanh,8,Highest,Sprint 3,11 Aug - 15 Aug,To Do,"6-agent ReAct orchestration with Gemma-4-26B and HITL RuleProposalCard."
Task,SCRUM-11,Xây baseline C0/C1 và Agentic A1 prototype,Tạ Kim Ngân,5,High,Sprint 3,11 Aug - 15 Aug,To Do,"Baseline and agentic prototype implementation."
Task,SCRUM-13,Thiết kế HITL review queue và audit trail,Vũ Thu Huyền,3,High,Sprint 3,11 Aug - 15 Aug,To Do,"HITL approval components and audit trail."
Task,SCRUM-16,Tích hợp vertical slice end-to-end,Vũ Thu Huyền,5,High,Sprint 3,11 Aug - 15 Aug,To Do,"End-to-end vertical slice integration."
Story,SCRUM-32,Executive Dashboard & In-Stream Daily Operation Date Filters,Vũ Thu Huyền,5,High,Sprint 4,15 Aug - 19 Aug,To Do,"React 19 Executive Dashboard, in-stream date filters (3d, 7d, Tuần, Tháng), and Vietnamese mentor workflow board."
Task,SCRUM-21,UX discovery và wireframe review flow,Vũ Thu Huyền,3,High,Sprint 4,15 Aug - 19 Aug,To Do,"UX wireframe discovery and review flow."
Task,SCRUM-18,Deploy demo observability và backup recovery,Vũ Thu Huyền,3,High,Sprint 4,15 Aug - 19 Aug,To Do,"Demo deployment and observability setup."
Task,SCRUM-17,Chạy agentic necessity evaluation C0 vs C1 vs A1,Phạm Quốc Thanh,5,Highest,Sprint 5,19 Aug - 23 Aug,To Do,"Agentic necessity benchmarking."
Task,SCRUM-15,Xây anomaly baseline và evaluation harness,Tạ Kim Ngân,3,Medium,Sprint 5,19 Aug - 23 Aug,To Do,"Anomaly evaluation harness."
Task,SCRUM-19,Mentor review and final report,Phạm Quốc Thanh,3,High,Sprint 5,19 Aug - 23 Aug,To Do,"Mentor review preparation and final report."
